         10624935 function calls (9814326 primitive calls) in 9.771 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      179    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
     1075    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      122    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
     1117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.013    0.013 lapack.py:656(<module>)
      167    0.000    0.000    0.003    0.000 rcsetup.py:68(f)
       86    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      306    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
       59    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
       52    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       27    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
      164    0.000    0.000    0.000    0.000 colors.py:454(__init__)
        1    0.000    0.000    0.120    0.120 __init__.py:106(<module>)
        1    0.000    0.000    0.039    0.039 __init__.py:628(<module>)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4032(parseImpl)
     1497    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
       11    0.000    0.000    0.001    0.000 decorator.py:95(__init__)
        1    0.000    0.000    0.046    0.046 __init__.py:101(<module>)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
       36    0.000    0.000    0.011    0.000 abc.py:125(__new__)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      715    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      474    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      130    0.000    0.000    0.000    0.000 pyplot.py:1773(<genexpr>)
       83    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
       27    0.000    0.000    0.006    0.000 pyparsing.py:3278(__init__)
      252    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      432    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
